t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659628799999952e+09,1.346353176512471439e+00,-6.500093709512198359e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628816666603e+09,1.265529858488821491e+00,-6.500874016910023556e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628833333254e+09,1.178103793600845384e+00,-6.503351509309841560e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659628849999905e+09,1.057319376223039731e+00,-6.504336275215571561e+01,4.144831619640078375e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.153132625511369215e-06
1.772659628866666555e+09,9.596760352188341558e-01,-6.503475697512298837e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628883333445e+09,8.803606123240949044e-01,-6.503429493429317176e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628900000095e+09,7.993834725311907974e-01,-6.506348452520663272e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628916666746e+09,6.969476317628365836e-01,-6.509301928734059572e+01,3.939059837104755960e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.946948736301585270e-06
1.772659628933333397e+09,6.216506991806971527e-01,-6.508224073833142143e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628950000048e+09,5.665665840252304131e-01,-6.509888374103964281e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628966666698e+09,5.220299089496175382e-01,-6.510054090604852206e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659628983333349e+09,4.895774367257039184e-01,-6.509576074764616749e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629000000000e+09,4.814691888832833278e-01,-6.511770488646476451e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629016666651e+09,4.765437944774836287e-01,-6.513166994253484177e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629033333302e+09,4.946166039972923478e-01,-6.513200867101166125e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629049999952e+09,5.178616438235199571e-01,-6.514498031435743997e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629066666603e+09,5.428778771698392625e-01,-6.515361453586486107e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629083333254e+09,5.545011834224369274e-01,-6.514304323452273593e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629099999905e+09,5.854293286084816250e-01,-6.517199086609880965e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629116666555e+09,5.776247744736967560e-01,-6.518156136379272425e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629133333445e+09,5.789572066289560004e-01,-6.517758691729480347e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629150000095e+09,5.448370008882592597e-01,-6.520190368062924335e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629166666746e+09,4.979598700948595913e-01,-6.518925955477627099e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629183333397e+09,4.658656781440516648e-01,-6.520009258725619361e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629200000048e+09,4.278240536496519808e-01,-6.521058540721274710e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629216666698e+09,3.853893556701439294e-01,-6.519740493149124916e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629233333349e+09,3.590672796146153201e-01,-6.517114402077589830e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629250000000e+09,3.411679730723285453e-01,-6.519654259785029637e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629266666651e+09,2.910562867120572994e-01,-6.523606351265226522e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629283333302e+09,2.566537984767046643e-01,-6.522965314172735418e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629299999952e+09,2.036062550468960841e-01,-6.522402950336312699e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629316666603e+09,1.470182114778180726e-01,-6.521440076025837129e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629333333254e+09,7.643785731694822949e-02,-6.519952268280525232e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629349999905e+09,4.676740272718091229e-02,-6.518616658655145102e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
